state,date,Day,Cases,Ref,Cumulative_cases,Growth_rate
Alabama,3/13/2020,35.00,6,Alabama43903,0,0
Alabama,3/14/2020,36.00,12,Alabama43904,6,6
Alabama,3/15/2020,37.00,23,Alabama43905,18,12
Alabama,3/16/2020,38.00,29,Alabama43906,41,23
Alabama,3/17/2020,39.00,39,Alabama43907,70,29
Alabama,3/18/2020,40.00,51,Alabama43908,109,39
Alabama,3/19/2020,41.00,78,Alabama43909,160,51
Alabama,3/20/2020,42.00,106,Alabama43910,238,78
Alabama,3/21/2020,43.00,131,Alabama43911,344,106
Alabama,3/22/2020,44.00,157,Alabama43912,475,131
Alabama,3/23/2020,45.00,196,Alabama43913,632,157
Alabama,3/24/2020,46.00,242,Alabama43914,828,196
Alabama,3/25/2020,47.00,386,Alabama43915,1070,242
Alaska,3/13/2020,35.00,1,Alaska43903,0,0
Alaska,3/14/2020,36.00,1,Alaska43904,1,1
Alaska,3/15/2020,37.00,1,Alaska43905,2,1
Alaska,3/16/2020,38.00,3,Alaska43906,3,1
Alaska,3/17/2020,39.00,6,Alaska43907,6,3
Alaska,3/18/2020,40.00,9,Alaska43908,12,6
Alaska,3/19/2020,41.00,12,Alaska43909,21,9
Alaska,3/20/2020,42.00,14,Alaska43910,33,12
Alaska,3/21/2020,43.00,21,Alaska43911,47,14
Alaska,3/22/2020,44.00,22,Alaska43912,68,21
Alaska,3/23/2020,45.00,36,Alaska43913,90,22
Alaska,3/24/2020,46.00,42,Alaska43914,126,36
Alaska,3/25/2020,47.00,59,Alaska43915,168,42
Alaska,12/3/2020,65.00,1,Alaska44168,227,59
Arizona,1/2/2020,1.00,1,Arizona43832,0,0
Arizona,1/3/2020,2.00,1,Arizona43833,1,1
Arizona,1/26/2020,8.00,1,Arizona43856,2,1
Arizona,1/27/2020,9.00,1,Arizona43857,3,1
Arizona,1/28/2020,10.00,1,Arizona43858,4,1
Arizona,1/29/2020,11.00,1,Arizona43859,5,1
Arizona,1/30/2020,12.00,1,Arizona43860,6,1
Arizona,1/31/2020,13.00,1,Arizona43861,7,1
Arizona,2/2/2020,14.00,1,Arizona43863,8,1
Arizona,2/3/2020,15.00,1,Arizona43864,9,1
Arizona,2/13/2020,16.00,1,Arizona43874,10,1
Arizona,2/14/2020,17.00,1,Arizona43875,11,1
Arizona,2/15/2020,18.00,1,Arizona43876,12,1
Arizona,2/16/2020,19.00,1,Arizona43877,13,1
Arizona,2/17/2020,20.00,1,Arizona43878,14,1
Arizona,2/18/2020,21.00,1,Arizona43879,15,1
Arizona,2/19/2020,22.00,1,Arizona43880,16,1
Arizona,2/20/2020,23.00,1,Arizona43881,17,1
Arizona,2/21/2020,24.00,1,Arizona43882,18,1
Arizona,2/22/2020,25.00,1,Arizona43883,19,1
Arizona,2/23/2020,26.00,1,Arizona43884,20,1
Arizona,2/24/2020,27.00,1,Arizona43885,21,1
Arizona,2/25/2020,28.00,1,Arizona43886,22,1
Arizona,2/26/2020,29.00,1,Arizona43887,23,1
Arizona,2/27/2020,30.00,1,Arizona43888,24,1
Arizona,2/28/2020,31.00,1,Arizona43889,25,1
Arizona,2/29/2020,32.00,1,Arizona43890,26,1
Arizona,3/2/2020,33.00,1,Arizona43892,27,1
Arizona,3/3/2020,34.00,2,Arizona43893,28,1
Arizona,3/13/2020,35.00,9,Arizona43903,30,2
Arizona,3/14/2020,36.00,12,Arizona43904,39,9
Arizona,3/15/2020,37.00,13,Arizona43905,51,12
Arizona,3/16/2020,38.00,18,Arizona43906,64,13
Arizona,3/17/2020,39.00,20,Arizona43907,82,18
Arizona,3/18/2020,40.00,28,Arizona43908,102,20
Arizona,3/19/2020,41.00,47,Arizona43909,130,28
Arizona,3/20/2020,42.00,70,Arizona43910,177,47
Arizona,3/21/2020,43.00,104,Arizona43911,247,70
Arizona,3/22/2020,44.00,153,Arizona43912,351,104
Arizona,3/23/2020,45.00,234,Arizona43913,504,153
Arizona,3/24/2020,46.00,326,Arizona43914,738,234
Arizona,3/25/2020,47.00,402,Arizona43915,1064,326
Arizona,4/2/2020,48.00,1,Arizona43923,1466,402
Arizona,4/3/2020,49.00,2,Arizona43924,1467,1
Arizona,5/2/2020,50.00,1,Arizona43953,1469,2
Arizona,5/3/2020,51.00,2,Arizona43954,1470,1
Arizona,6/2/2020,52.00,1,Arizona43984,1472,2
Arizona,6/3/2020,53.00,3,Arizona43985,1473,1
