"Detected.State","Date.Announced","Day","Daily.Count","Cumm"
"Kerala",2020-01-30,0,1,1
"Kerala",2020-02-02,3,1,2
"Kerala",2020-02-03,4,1,3
"Delhi",2020-03-02,32,1,1
"Telangana",2020-03-02,32,1,1
"Rajasthan",2020-03-03,33,1,1
"Haryana",2020-03-04,34,14,14
"Rajasthan",2020-03-04,34,1,2
"Uttar Pradesh",2020-03-04,34,7,7
"Delhi",2020-03-05,35,1,2
"Uttar Pradesh",2020-03-05,35,1,8
"Delhi",2020-03-06,36,1,3
"Ladakh",2020-03-07,37,2,2
"Tamil Nadu",2020-03-07,37,1,1
"Kerala",2020-03-08,38,5,8
"Delhi",2020-03-09,39,1,4
"Jammu and Kashmir",2020-03-09,39,1,1
"Karnataka",2020-03-09,39,1,1
"Kerala",2020-03-09,39,1,9
"Maharashtra",2020-03-09,39,2,2
"Punjab",2020-03-09,39,1,1
"Uttar Pradesh",2020-03-09,39,2,10
"Kerala",2020-03-10,40,8,17
"Karnataka",2020-03-10,40,3,4
"Maharashtra",2020-03-10,40,3,5
"Rajasthan",2020-03-10,40,1,3
"Delhi",2020-03-11,41,1,5
"Ladakh",2020-03-11,41,1,3
"Maharashtra",2020-03-11,41,5,10
"Andhra Pradesh",2020-03-12,42,1,1
"Delhi",2020-03-12,42,1,6
"Karnataka",2020-03-12,42,2,6
"Kerala",2020-03-12,42,2,19
"Maharashtra",2020-03-12,42,4,14
"Uttar Pradesh",2020-03-12,42,2,12
"Delhi",2020-03-13,43,1,7
"Jammu and Kashmir",2020-03-13,43,1,2
"Kerala",2020-03-13,43,3,22
"Maharashtra",2020-03-13,43,3,17
"Uttar Pradesh",2020-03-13,43,1,13
"Maharashtra",2020-03-14,44,14,31
"Rajasthan",2020-03-14,44,1,4
"Telangana",2020-03-14,44,1,2
"Kerala",2020-03-15,45,2,24
"Maharashtra",2020-03-15,45,2,33
"Telangana",2020-03-15,45,1,3
"Uttarakhand",2020-03-15,45,1,1
"Jammu and Kashmir",2020-03-16,46,1,3
"Karnataka",2020-03-16,46,2,8
"Kerala",2020-03-16,46,3,27
"Maharashtra",2020-03-16,46,6,39
"Odisha",2020-03-16,46,1,1
"Telangana",2020-03-16,46,1,4
"Delhi",2020-03-17,47,3,10
"Haryana",2020-03-17,47,1,15
"Ladakh",2020-03-17,47,5,8
"Karnataka",2020-03-17,47,3,11
"Maharashtra",2020-03-17,47,2,41
"Puducherry",2020-03-17,47,1,1
"Telangana",2020-03-17,47,1,5
"Uttar Pradesh",2020-03-17,47,2,15
"West Bengal",2020-03-17,47,1,1
"Maharashtra",2020-03-18,48,4,45
"Uttar Pradesh",2020-03-18,48,2,17
"Telangana",2020-03-18,48,8,13
"Karnataka",2020-03-18,48,3,14
"Haryana",2020-03-18,48,2,17
"Tamil Nadu",2020-03-18,48,1,2
"Jammu and Kashmir",2020-03-18,48,1,4
"Rajasthan",2020-03-18,48,3,7
"Delhi",2020-03-18,48,1,11
"Chandigarh",2020-03-19,49,1,1
"Maharashtra",2020-03-19,49,4,49
"Karnataka",2020-03-19,49,1,15
"Andhra Pradesh",2020-03-19,49,2,3
"Chhattisgarh",2020-03-19,49,1,1
"Uttar Pradesh",2020-03-19,49,3,20
"Tamil Nadu",2020-03-19,49,1,3
"Punjab",2020-03-19,49,1,2
"Kerala",2020-03-19,49,1,28
"Gujarat",2020-03-19,49,2,2
"Uttarakhand",2020-03-19,49,2,3
"Telangana",2020-03-19,49,3,16
"Odisha",2020-03-19,49,1,2
"Rajasthan",2020-03-19,49,2,9
"Delhi",2020-03-19,49,3,14
"West Bengal",2020-03-20,50,1,2
"Punjab",2020-03-20,50,1,3
"Ladakh",2020-03-20,50,2,10
"Delhi",2020-03-20,50,6,20
"Maharashtra",2020-03-20,50,5,54
"Gujarat",2020-03-20,50,5,7
"Uttar Pradesh",2020-03-20,50,4,24
"Rajasthan",2020-03-20,50,8,17
"Telangana",2020-03-20,50,3,19
"Chandigarh",2020-03-20,50,4,5
"Kerala",2020-03-20,50,12,40
"Haryana",2020-03-20,50,2,19
"Himachal Pradesh",2020-03-20,50,2,2
"Madhya Pradesh",2020-03-20,50,4,4
